Key,Prediction,Borough,Neighborhood
47_1106.00,2.990615356,Brooklyn,East New York
81_939.00,2.989151126,Queens,College Point
47_298.00,2.980286158,Brooklyn,Gravesend
81_845.00,2.96988357,Queens,Flushing
81_997.01,2.968473735,Queens,Clearview
81_1029.00,2.967953259,Queens,Bowne Park
81_568.00,2.965731054,Queens,Queens Village
81_1032.01,2.964016833,Queens,Baywater
81_942.02,2.964015534,Queens,Rockaway Park / Seaside
81_871.00,2.96269817,Queens,Flushing
47_772.00,2.962416329,Brooklyn,Ditmas Park
47_250.00,2.960174948,Brooklyn,Bensonhurst
47_740.00,2.958118694,Brooklyn,Flatlands
47_1142.01,2.954829108,Brooklyn,Broadway Junction
47_260.00,2.95319749,Brooklyn,Bensonhurst
47_440.00,2.949902371,Brooklyn,Midwood
81_1571.02,2.94505915,Queens,Bellerose / Floral Park
47_476.00,2.936482813,Brooklyn,Borough Park
47_526.00,2.930915612,Brooklyn,Ditmas Park
47_544.00,2.912539333,Brooklyn,Midwood
47_240.00,2.904532932,Brooklyn,Borough Park
47_348.02,2.903991573,Brooklyn,Coney Island
47_348.01,2.902778808,Brooklyn,Coney Island
47_400.00,2.900362353,Brooklyn,Gravesend
47_514.00,2.896270135,Brooklyn,Ditmas Park
81_255.00,2.895346253,Queens,Woodside
81_128.00,2.891387001,Queens,Richmond Hill
81_669.00,2.888182932,Queens,Middle Village
47_306.00,2.886163719,Brooklyn,Gravesend
47_428.00,2.885089147,Brooklyn,Gravesend
81_483.00,2.884534287,Queens,Elmhurst
81_524.00,2.882600496,Queens,St. Albans
47_998.00,2.881033267,Brooklyn,Canarsie
81_366.00,2.880413865,Queens,St. Albans
81_14.00,2.879077523,Queens,Woodhaven
81_275.00,2.878400886,Queens,Jackson Heights
47_450.00,2.873348015,Brooklyn,Midwood
47_814.00,2.869344267,Brooklyn,East Flatbush
81_797.00,2.869272541,Queens,Flushing
47_748.00,2.867064902,Brooklyn,Midwood
47_336.00,2.857653783,Brooklyn,Seagate
47_218.00,2.854955352,Brooklyn,Borough Park
47_220.00,2.854605748,Brooklyn,Borough Park
81_309.01,2.85140902,Queens,Jackson Heights
47_1176.02,2.846055975,Brooklyn,Cypress Hills
47_424.00,2.845989632,Brooklyn,Gravesend
81_846.01,2.844593182,Queens,South Ozone Park
47_134.00,2.84120986,Brooklyn,Bay Ridge
47_1022.00,2.837659765,Brooklyn,Canarsie
81_627.00,2.837599467,Queens,Glendale
81_683.00,2.833593635,Queens,Elmhurst
47_178.00,2.830826972,Brooklyn,Bath Beach
47_374.00,2.826093127,Brooklyn,Gravesend
81_535.00,2.823594856,Queens,Maspeth
81_1451.02,2.823177389,Queens,Auburndale
47_456.00,2.82099779,Brooklyn,Midwood
47_204.00,2.8187221,Brooklyn,Dyker Heights
47_418.00,2.8133024,Brooklyn,Sheepshead Bay
47_394.00,2.80734252,Brooklyn,Homecrest
61_281.00,2.794983084,Manhattan,Washington Heights
47_350.00,2.790855107,Brooklyn,Coney Island
81_884.00,2.790567824,Queens,Howard Beach
81_607.00,2.781948749,Queens,Maspeth
47_290.00,2.781353493,Brooklyn,Bath Beach
47_340.00,2.776048498,Brooklyn,Coney Island
47_1210.00,2.769032095,Brooklyn,East New York
